id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Lights Freestyle,Urban Poets,hip-hop,energetic,0.88,95,0.72,0.85,0.12
12,Moonlight Sonata Remix,Chamber Collective,classical,peaceful,0.25,65,0.45,0.15,0.95
13,Electric Pulse,Bass Drop,edm,uplifting,0.95,128,0.88,0.92,0.08
14,Backroads Memory,Dusty Trails,country,nostalgic,0.52,102,0.58,0.48,0.82
15,Velvet Night,Smooth Soul,r&b,romantic,0.45,88,0.75,0.68,0.25
16,Rage Machine,Iron Fury,metal,angry,0.98,180,0.22,0.55,0.02
17,Wandering Heart,Willow Creek,folk,melancholic,0.32,76,0.35,0.42,0.94
18,Island Breeze,Coastal Vibes,reggae,relaxed,0.48,85,0.80,0.70,0.65
19,Midnight Blues,Delta Echoes,blues,melancholic,0.38,70,0.28,0.38,0.88
20,Starlight Dance,K-Wave,k-pop,energetic,0.90,140,0.92,0.95,0.15
